Afghanistan, countryAF 
Albania, countryAL 
Algeria, countryDZ 
American Samoa, countryAS 
Andorra, countryAD 
Angola, countryAO 
Anguilla, countryAI 
Antarctica, countryAQ 
Antigua & Barbuda, countryAG 
Argentina, countryAR 
Armenia, countryAM 
Aruba, countryAW 
Australia, countryAU 
Austria, countryAT 
Azerbaijan, countryAZ 
Bahamas, countryBS 
Bahrain, countryBH 
Bangladesh, countryBD 
Barbados, countryBB 
Belarus, countryBY 
Belgium, countryBE 
Belize, countryBZ 
Benin, countryBJ 
Bermuda, countryBM 
Bhutan, countryBT 
Bolivia, countryBO 
Bosnia & Herzegovina, countryBA 
Botswana, countryBW 
Bouvet Island, countryBV 
Brazil, countryBR 
British Indian Ocean Territory, countryIO 
British Virgin Islands, countryVG 
Brunei, countryBN 
Bulgaria, countryBG 
Burkina Faso, countryBF 
Burundi, countryBI 
Cambodia, countryKH 
Cameroon, countryCM 
Canada, countryCA 
Cape Verde, countryCV 
Cayman Islands, countryKY 
Central African Republic, countryCF 
Chad, countryTD 
Chile, countryCL 
China, countryCN 
Christmas Island, countryCX 
Cocos (Keeling) Islands, countryCC 
Colombia, countryCO 
Comoros, countryKM 
Congo - Brazzaville, countryCG 
Congo - Kinshasa, countryCD 
Cook Islands, countryCK 
Costa Rica, countryCR 
Côte d’Ivoire, countryCI 
Croatia, countryHR 
Cuba, countryCU 
Cyprus, countryCY 
Czechia, countryCZ 
Denmark, countryDK 
Djibouti, countryDJ 
Dominica, countryDM 
Dominican Republic, countryDO 
Ecuador, countryEC 
Egypt, countryEG 
El Salvador, countrySV 
Equatorial Guinea, countryGQ 
Eritrea, countryER 
Estonia, countryEE 
Eswatini, countrySZ 
Ethiopia, countryET 
Falkland Islands (Islas Malvinas), countryFK 
Faroe Islands, countryFO 
Fiji, countryFJ 
Finland, countryFI 
France, countryFR 
French Guiana, countryGF 
French Polynesia, countryPF 
French Southern Territories, countryTF 
Gabon, countryGA 
Gambia, countryGM 
Georgia, countryGE 
Germany, countryDE 
Ghana, countryGH 
Gibraltar, countryGI 
Greece, countryGR 
Greenland, countryGL 
Grenada, countryGD 
Guadeloupe, countryGP 
Guam, countryGU 
Guatemala, countryGT 
Guinea, countryGN 
Guinea-Bissau, countryGW 
Guyana, countryGY 
Haiti, countryHT 
Heard & McDonald Islands, countryHM 
Honduras, countryHN 
Hong Kong, countryHK 
Hungary, countryHU 
Iceland, countryIS 
India, countryIN 
Indonesia, countryID 
Iran, countryIR 
Iraq, countryIQ 
Ireland, countryIE 
Israel, countryIL 
Italy, countryIT 
Jamaica, countryJM 
Japan, countryJP 
Jordan, countryJO 
Kazakhstan, countryKZ 
Kenya, countryKE 
Kiribati, countryKI 
Kuwait, countryKW 
Kyrgyzstan, countryKG 
Laos, countryLA 
Latvia, countryLV 
Lebanon, countryLB 
Lesotho, countryLS 
Liberia, countryLR 
Libya, countryLY 
Liechtenstein, countryLI 
Lithuania, countryLT 
Luxembourg, countryLU 
Macao, countryMO 
Madagascar, countryMG 
Malawi, countryMW 
Malaysia, countryMY 
Maldives, countryMV 
Mali, countryML 
Malta, countryMT 
Marshall Islands, countryMH 
Martinique, countryMQ 
Mauritania, countryMR 
Mauritius, countryMU 
Mayotte, countryYT 
Mexico, countryMX 
Micronesia, countryFM 
Moldova, countryMD 
Monaco, countryMC 
Mongolia, countryMN 
Montserrat, countryMS 
Morocco, countryMA 
Mozambique, countryMZ 
Myanmar (Burma), countryMM 
Namibia, countryNA 
Nauru, countryNR 
Nepal, countryNP 
Netherlands, countryNL 
New Caledonia, countryNC 
New Zealand, countryNZ 
Nicaragua, countryNI 
Niger, countryNE 
Nigeria, countryNG 
Niue, countryNU 
Norfolk Island, countryNF 
North Korea, countryKP 
North Macedonia, countryMK 
Northern Mariana Islands, countryMP 
Norway, countryNO 
Oman, countryOM 
Pakistan, countryPK 
Palau, countryPW 
Palestine, countryPS 
Panama, countryPA 
Papua New Guinea, countryPG 
Paraguay, countryPY 
Peru, countryPE 
Philippines, countryPH 
Pitcairn Islands, countryPN 
Poland, countryPL 
Portugal, countryPT 
Puerto Rico, countryPR 
Qatar, countryQA 
Réunion, countryRE 
Romania, countryRO 
Russia, countryRU 
Rwanda, countryRW 
Samoa, countryWS 
San Marino, countrySM 
São Tomé & Príncipe, countryST 
Saudi Arabia, countrySA 
Senegal, countrySN 
Serbia, countryRS 
Seychelles, countrySC 
Sierra Leone, countrySL 
Singapore, countrySG 
Slovakia, countrySK 
Slovenia, countrySI 
Solomon Islands, countrySB 
Somalia, countrySO 
South Africa, countryZA 
South Georgia & South Sandwich Islands, countryGS 
South Korea, countryKR 
Spain, countryES 
Sri Lanka, countryLK 
St. Helena, countrySH 
St. Kitts & Nevis, countryKN 
St. Lucia, countryLC 
St. Pierre & Miquelon, countryPM 
St. Vincent & Grenadines, countryVC 
Sudan, countrySD 
Suriname, countrySR 
Svalbard & Jan Mayen, countrySJ 
Sweden, countrySE 
Switzerland, countryCH 
Syria, countrySY 
Taiwan, countryTW 
Tajikistan, countryTJ 
Tanzania, countryTZ 
Thailand, countryTH 
Togo, countryTG 
Tokelau, countryTK 
Tonga, countryTO 
Trinidad & Tobago, countryTT 
Tunisia, countryTN 
Turkey, countryTR 
Turkmenistan, countryTM 
Turks & Caicos Islands, countryTC 
Tuvalu, countryTV 
U.S. Outlying Islands, countryUM 
U.S. Virgin Islands, countryVI 
Uganda, countryUG 
Ukraine, countryUA 
United Arab Emirates, countryAE 
United Kingdom, countryGB 
United States, countryUS 
Uruguay, countryUY 
Uzbekistan, countryUZ 
Vanuatu, countryVU 
Vatican City, countryVA 
Venezuela, countryVE 
Vietnam, countryVN 
Wallis & Futuna, countryWF 
Western Sahara, countryEH 
Yemen, countryYE 
Zambia, countryZM 
Zimbabwe, countryZW 
